xi,x_orig_mm,y_orig_mm,x_bumped_mm,y_bumped_mm,s_mm,h_mm
0.03788447112,-416.6736414,3.650615378,-416.6736414,3.650615378,44.89454135,0
0.03800950238,-416.5633657,3.696313506,-416.5633657,3.696313506,45.01391592,0
0.03813453363,-416.4530867,3.74195232,-416.4530867,3.74195232,45.13326118,0
0.03825956489,-416.3428047,3.787532466,-416.3428047,3.787532466,45.25259164,0
0.03838459615,-416.2325197,3.833054587,-416.2325197,3.833054587,45.37190581,0
0.03850962741,-416.1222316,3.87851933,-416.1222316,3.87851933,45.49119325,0
0.03863465866,-416.0119405,3.92392734,-416.0119405,3.92392734,45.61046866,0
0.03875968992,-415.9016465,3.96927926,-415.9016465,3.96927926,45.72972248,0
0.03888472118,-415.7913495,4.014575738,-415.7913495,4.014575738,45.84895647,0
0.03900975244,-415.6810497,4.059817417,-415.6810497,4.059817417,45.96817879,0
0.0391347837,-415.570747,4.105004942,-415.570747,4.105004942,46.08737469,0
0.03925981495,-415.4604415,4.15013896,-415.4604415,4.15013896,46.20655716,0
0.03938484621,-415.3501332,4.195220114,-415.3501332,4.195220114,46.32572499,0
0.03950987747,-415.2398221,4.240249049,-415.2398221,4.240249049,46.44486869,0
0.03963490873,-415.1295084,4.285226412,-415.1295084,4.285226412,46.56400156,0
0.03975993998,-415.0191919,4.330152846,-415.0191919,4.330152846,46.68311507,0
0.03988497124,-414.9088728,4.375028998,-414.9088728,4.375028998,46.80221071,0
0.0400100025,-414.7985511,4.419855511,-414.7985511,4.419855511,46.92129588,0
0.04013503376,-414.6882268,4.464633032,-414.6882268,4.464633032,47.04035742,0
0.04026006502,-414.5778999,4.509362204,-414.5778999,4.509362204,47.15940689,0
